DATE,Beautification Daily Log_Date,Beautification Daily Log_Location (cross streets),Beautification Daily Log_How many POUNDS of garbage collected? (number only),Beautification Daily Log_Sum,Beautification Daily Log_Percentage of total,Metro Cost_Weight_Date,Metro Cost_Weight_Pounds,Metro Cost_Weight_Cost,Metro Cost_Weight_Sum,Metro Cost_Weight_Percentage of total,APPROX SITE WEIGHT,CITY,STATE,ZIP
3/7/2022,3/7/2022,0,0,0,0,3/7/2022,3900,239,6580,0.59,0,0,0,0
3/8/2022,3/8/2022,0,0,0,0,3/8/2022,1980,129,5820,0.34,0,0,0,0
3/8/2022,3/8/2022,0,0,0,0,3/8/2022,3840,236,5820,0.66,0,0,0,0
3/9/2022,3/9/2022,0,0,0,0,3/9/2022,3100,193,6680,0.46,0,0,0,0
3/9/2022,3/9/2022,0,0,0,0,3/9/2022,3580,221,6680,0.54,0,0,0,0
3/10/2022,3/10/2022,0,0,0,0,3/10/2022,3280,204,7320,0.45,0,0,0,0
3/10/2022,3/10/2022,0,0,0,0,3/10/2022,4040,247,7320,0.55,0,0,0,0
3/14/2022,3/14/2022,0,0,0,0,3/14/2022,2320,148,2320,1,0,0,0,0
3/15/2022,3/15/2022,0,0,0,0,3/15/2022,5380,324,5380,1,0,0,0,0
3/16/2022,3/16/2022,0,0,0,0,3/16/2022,3520,217,7820,0.45,0,0,0,0
3/16/2022,3/16/2022,0,0,0,0,3/16/2022,4300,262,7820,0.55,0,0,0,0
3/17/2022,3/17/2022,0,0,0,0,3/17/2022,3240,201,7200,0.45,0,0,0,0
3/17/2022,3/17/2022,0,0,0,0,3/17/2022,3960,243,7200,0.55,0,0,0,0
3/18/2022,3/18/2022,0,0,0,0,3/18/2022,1020,73,1020,1,0,0,0,0
3/22/2022,3/22/2022,0,0,0,0,3/22/2022,1320,91,1320,1,0,0,0,0
3/23/2022,3/23/2022,0,0,0,0,3/23/2022,2180,140,5540,0.39,0,0,0,0
3/23/2022,3/23/2022,0,0,0,0,3/23/2022,3360,208,5540,0.61,0,0,0,0
3/24/2022,3/24/2022,0,0,0,0,3/24/2022,680,54,3780,0.18,0,0,0,0
3/24/2022,3/24/2022,0,0,0,0,3/24/2022,3100,193,3780,0.82,0,0,0,0
3/25/2022,3/25/2022,0,0,0,0,3/25/2022,2540,161,2540,1,0,0,0,0
3/28/2022,3/28/2022,0,0,0,0,3/28/2022,2280,146,2280,1,0,0,0,0
3/29/2022,3/29/2022,0,0,0,0,3/29/2022,2100,136,5040,0.42,0,0,0,0
3/29/2022,3/29/2022,0,0,0,0,3/29/2022,2940,184,5040,0.58,0,0,0,0
3/30/2022,3/30/2022,0,0,0,0,3/30/2022,2120,137,4940,0.43,0,0,0,0
3/30/2022,3/30/2022,0,0,0,0,3/30/2022,2820,177,4940,0.57,0,0,0,0
3/31/2022,3/31/2022,0,0,0,0,3/31/2022,1440,98,3480,0.41,0,0,0,0
3/31/2022,3/31/2022,0,0,0,0,3/31/2022,2040,132,3480,0.59,0,0,0,0
4/4/2022,4/4/2022,0,0,0,0,4/4/2022,2420,154,2420,1,0,0,0,0
4/5/2022,4/5/2022,0,0,0,0,4/5/2022,2800,176,6660,0.42,0,0,0,0
4/5/2022,4/5/2022,0,0,0,0,4/5/2022,3860,237,6660,0.58,0,0,0,0
4/6/2022,4/6/2022,0,0,0,0,4/6/2022,3100,193,6280,0.49,0,0,0,0
4/6/2022,4/6/2022,0,0,0,0,4/6/2022,3180,198,6280,0.51,0,0,0,0
4/7/2022,4/7/2022,0,0,0,0,4/7/2022,4540,276,4540,1,0,0,0,0
4/8/2022,4/8/2022,0,0,0,0,4/8/2022,2500,159,2500,1,0,0,0,0
4/12/2022,4/12/2022,0,0,0,0,4/12/2022,2880,181,2880,1,0,0,0,0
4/13/2022,4/13/2022,0,0,0,0,4/13/2022,3220,200,3220,1,0,0,0,0
4/14/2022,4/14/2022,0,0,0,0,4/14/2022,5480,330,5480,1,0,0,0,0
4/18/2022,4/18/2022,0,0,0,0,4/18/2022,3800,234,8980,0.42,0,0,0,0
4/18/2022,4/18/2022,0,0,0,0,4/18/2022,5180,313,8980,0.58,0,0,0,0
4/19/2022,4/19/2022,0,0,0,0,4/19/2022,3680,227,3680,1,0,0,0,0
4/20/2022,4/20/2022,0,0,0,0,4/20/2022,4060,248,4060,1,0,0,0,0
4/21/2022,4/21/2022,0,0,0,0,4/21/2022,1600,107,6020,0.27,0,0,0,0
4/21/2022,4/21/2022,0,0,0,0,4/21/2022,1920,125,6020,0.32,0,0,0,0
4/21/2022,4/21/2022,0,0,0,0,4/21/2022,2500,159,6020,0.42,0,0,0,0
4/22/2022,4/22/2022,0,0,0,0,4/22/2022,1800,118,1800,1,0,0,0,0
4/26/2022,4/26/2022,0,0,0,0,4/26/2022,1640,109,6040,0.27,0,0,0,0
4/26/2022,4/26/2022,0,0,0,0,4/26/2022,4400,268,6040,0.73,0,0,0,0
4/28/2022,4/28/2022,0,0,0,0,4/28/2022,2300,147,8000,0.29,0,0,0,0
4/28/2022,4/28/2022,0,0,0,0,4/28/2022,2320,148,8000,0.29,0,0,0,0
4/28/2022,4/28/2022,0,0,0,0,4/28/2022,3380,209,8000,0.42,0,0,0,0
5/2/2022,5/2/2022,0,0,0,0,5/2/2022,1660,110,3980,0.42,0,0,0,0
5/2/2022,5/2/2022,0,0,0,0,5/2/2022,2320,148,3980,0.58,0,0,0,0
5/3/2022,5/3/2022,0,0,0,0,5/3/2022,2780,175,5560,0.5,0,0,0,0
5/3/2022,5/3/2022,0,0,0,0,5/3/2022,2780,175,5560,0.5,0,0,0,0
5/4/2022,5/4/2022,0,0,0,0,5/4/2022,2480,158,2480,1,0,0,0,0
5/5/2022,5/5/2022,0,0,0,0,5/5/2022,3740,230,3740,1,0,0,0,0
5/10/2022,5/10/2022,0,0,0,0,5/10/2022,360,35.48,2980,0.12,0,0,0,0
5/10/2022,5/10/2022,0,0,0,0,5/10/2022,2620,165.6,2980,0.88,0,0,0,0
5/11/2022,5/11/2022,0,0,0,0,5/11/2022,2520,147.84,2520,1,0,0,0,0
5/12/2022,5/12/2022,0,0,0,0,5/12/2022,720,44.2,7920,0.09,0,0,0,0
5/12/2022,5/12/2022,0,0,0,0,5/12/2022,3540,206.57,7920,0.45,0,0,0,0
5/12/2022,5/12/2022,0,0,0,0,5/12/2022,3660,213.47,7920,0.46,0,0,0,0
5/13/2022,5/13/2022,0,0,0,0,5/13/2022,880,53.42,880,1,0,0,0,0
5/16/2022,5/16/2022,0,0,0,0,5/16/2022,1900,112.14,4400,0.43,0,0,0,0
5/16/2022,5/16/2022,0,0,0,0,5/16/2022,2500,146.69,4400,0.57,0,0,0,0
5/17/2022,5/17/2022,0,0,0,0,5/17/2022,1760,104.08,6140,0.29,0,0,0,0
5/17/2022,5/17/2022,0,0,0,0,5/17/2022,1880,110.99,6140,0.31,0,0,0,0
5/17/2022,5/17/2022,0,0,0,0,5/17/2022,2500,146.69,6140,0.41,0,0,0,0
5/18/2022,5/18/2022,0,0,0,0,5/18/2022,2340,137.48,2340,1,0,0,0,0
5/19/2022,5/19/2022,0,0,0,0,5/19/2022,2400,140.93,2400,1,0,0,0,0
5/23/2022,5/23/2022,0,0,0,0,5/23/2022,1580,93.72,3600,0.44,0,0,0,0
5/23/2022,5/23/2022,0,0,0,0,5/23/2022,2020,119.05,3600,0.56,0,0,0,0
5/24/2022,5/24/2022,0,0,0,0,5/24/2022,1800,106.39,4340,0.41,0,0,0,0
5/24/2022,5/24/2022,0,0,0,0,5/24/2022,2540,148.99,4340,0.59,0,0,0,0
5/25/2022,5/25/2022,0,0,0,0,5/25/2022,1100,66.08,4700,0.23,0,0,0,0
5/25/2022,5/25/2022,0,0,0,0,5/25/2022,1100,78,4700,0.23,0,0,0,0
5/25/2022,5/25/2022,0,0,0,0,5/25/2022,2500,146.69,4700,0.53,0,0,0,0
5/26/2022,5/26/2022,0,0,0,0,5/26/2022,660,40.75,8280,0.08,0,0,0,0
5/26/2022,5/26/2022,0,0,0,0,5/26/2022,3800,221.53,8280,0.46,0,0,0,0
5/26/2022,5/26/2022,0,0,0,0,5/26/2022,3820,222.69,8280,0.46,0,0,0,0
5/31/2022,5/31/2022,0,0,0,0,5/31/2022,460,29.23,6780,0.07,0,0,0,0
5/31/2022,5/31/2022,0,0,0,0,5/31/2022,2660,155.9,6780,0.39,0,0,0,0
5/31/2022,5/31/2022,0,0,0,0,5/31/2022,3660,213.47,6780,0.54,0,0,0,0
6/1/2022,6/1/2022,0,0,0,0,6/1/2022,3340,195.05,3340,1,0,0,0,0
6/2/2022,6/2/2022,0,0,0,0,6/2/2022,1940,114.45,4520,0.43,0,0,0,0
6/2/2022,6/2/2022,0,0,0,0,6/2/2022,2580,163,4520,0.57,0,0,0,0
6/3/2022,6/3/2022,0,0,0,0,6/3/2022,1880,110.99,1880,1,0,0,0,0
6/6/2022,6/6/2022,0,0,0,0,6/6/2022,2180,128.26,4500,0.48,0,0,0,0
6/6/2022,6/6/2022,0,0,0,0,6/6/2022,2320,136.32,4500,0.52,0,0,0,0
6/7/2022,6/7/2022,0,0,0,0,6/7/2022,1860,109.84,4760,0.39,0,0,0,0
6/7/2022,6/7/2022,0,0,0,0,6/7/2022,2900,169.72,4760,0.61,0,0,0,0
6/8/2022,6/8/2022,0,0,0,0,6/8/2022,1800,106.39,8860,0.2,0,0,0,0
6/8/2022,6/8/2022,0,0,0,0,6/8/2022,1880,110.99,8860,0.21,0,0,0,0
6/8/2022,6/8/2022,0,0,0,0,6/8/2022,2320,136.32,8860,0.26,0,0,0,0
6/8/2022,6/8/2022,0,0,0,0,6/8/2022,2860,167.41,8860,0.32,0,0,0,0
6/9/2022,6/9/2022,0,0,0,0,6/9/2022,1260,75.29,8120,0.16,0,0,0,0
6/9/2022,6/9/2022,0,0,0,0,6/9/2022,1800,106.39,8120,0.22,0,0,0,0
6/9/2022,6/9/2022,0,0,0,0,6/9/2022,1860,109.84,8120,0.23,0,0,0,0
6/9/2022,6/9/2022,0,0,0,0,6/9/2022,3200,186.99,8120,0.39,0,0,0,0
6/10/2022,6/10/2022,0,0,0,0,6/10/2022,640,39.6,3860,0.17,0,0,0,0
6/10/2022,6/10/2022,0,0,0,0,6/10/2022,3220,188.14,3860,0.83,0,0,0,0
6/13/2022,6/13/2022,0,0,0,0,6/13/2022,3140,183.54,6440,0.49,0,0,0,0
6/13/2022,6/13/2022,0,0,0,0,6/13/2022,3300,192.75,6440,0.51,0,0,0,0
6/14/2022,6/14/2022,0,0,0,0,6/14/2022,2200,129.41,8120,0.27,0,0,0,0
6/14/2022,6/14/2022,0,0,0,0,6/14/2022,2940,172.02,8120,0.36,0,0,0,0
6/14/2022,6/14/2022,0,0,0,0,6/14/2022,2980,174.32,8120,0.37,0,0,0,0
6/15/2022,6/15/2022,0,0,0,0,6/15/2022,1860,109.84,7240,0.26,0,0,0,0
6/15/2022,6/15/2022,0,0,0,0,6/15/2022,2480,145.54,7240,0.34,0,0,0,0
6/15/2022,6/15/2022,0,0,0,0,6/15/2022,2900,169.72,7240,0.4,0,0,0,0
6/16/2022,6/16/2022,0,0,0,0,6/16/2022,1780,117,10560,0.17,0,0,0,0
6/16/2022,6/16/2022,0,0,0,0,6/16/2022,1820,107.54,10560,0.17,0,0,0,0
6/16/2022,6/16/2022,0,0,0,0,6/16/2022,2220,130.57,10560,0.21,0,0,0,0
6/16/2022,6/16/2022,0,0,0,0,6/16/2022,2240,131.72,10560,0.21,0,0,0,0
6/16/2022,6/16/2022,0,0,0,0,6/16/2022,2500,146.69,10560,0.24,0,0,0,0
6/17/2022,6/17/2022,0,0,0,0,6/17/2022,1120,67.23,1120,1,0,0,0,0
6/22/2022,6/22/2022,0,0,0,0,6/22/2022,1380,82.2,1380,1,0,0,0,0
6/23/2022,6/23/2022,0,0,0,0,6/23/2022,1480,87.96,1480,1,0,0,0,0
6/24/2022,6/24/2022,0,0,0,0,6/24/2022,1340,79.9,3900,0.34,0,0,0,0
6/24/2022,6/24/2022,0,0,0,0,6/24/2022,2560,150.14,3900,0.66,0,0,0,0
6/27/2022,6/27/2022,0,0,0,0,6/27/2022,1740,102.93,1740,1,0,0,0,0
6/30/2022,6/30/2022,0,0,0,0,6/30/2022,1680,99.48,1680,1,0,0,0,0
7/1/2022,7/1/2022,0,0,0,0,7/1/2022,1920,122.76,1920,1,0,0,0,0
7/5/2022,7/5/2022,0,0,0,0,7/5/2022,1960,125.23,3980,0.49,0,0,0,0
7/5/2022,7/5/2022,0,0,0,0,7/5/2022,2020,128.93,3980,0.51,0,0,0,0
7/6/2022,7/6/2022,0,0,0,0,7/6/2022,1900,121.53,4760,0.4,0,0,0,0
7/6/2022,7/6/2022,0,0,0,0,7/6/2022,2860,180.78,4760,0.6,0,0,0,0
7/11/2022,7/11/2022,0,0,0,0,7/11/2022,1660,106.71,5080,0.33,0,0,0,0
7/11/2022,7/11/2022,0,0,0,0,7/11/2022,1660,106.71,5080,0.33,0,0,0,0
7/11/2022,7/11/2022,0,0,0,0,7/11/2022,1760,112.89,5080,0.35,0,0,0,0
7/14/2022,7/14/2022,0,0,0,0,7/14/2022,2120,135.11,7240,0.29,0,0,0,0
7/14/2022,7/14/2022,0,0,0,0,7/14/2022,2260,143.75,7240,0.31,0,0,0,0
7/14/2022,7/14/2022,0,0,0,0,7/14/2022,2860,180.78,7240,0.4,0,0,0,0
7/15/2022,7/15/2022,0,0,0,0,7/15/2022,1520,98.07,1520,1,0,0,0,0
7/18/2022,7/18/2022,0,0,0,0,7/18/2022,1580,101.78,6520,0.24,0,0,0,0
7/18/2022,7/18/2022,0,0,0,0,7/18/2022,1600,103.01,6520,0.25,0,0,0,0
7/18/2022,7/18/2022,0,0,0,0,7/18/2022,1620,104.24,6520,0.25,0,0,0,0
7/18/2022,7/18/2022,0,0,0,0,7/18/2022,1720,110.42,6520,0.26,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,40,22.77,7120,0.01,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,60,22.77,7120,0.01,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,980,64.74,7120,0.14,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,1780,114.12,7120,0.25,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,2040,130.17,7120,0.29,0,0,0,0
7/19/2022,7/19/2022,0,0,0,0,7/19/2022,2220,141.28,7120,0.31,0,0,0,0
7/20/2022,7/20/2022,0,0,0,0,7/20/2022,1700,109.18,9640,0.18,0,0,0,0
